CODIGO_CARRERA,AVERAGE_CIEN,AVERAGE_M1,AVERAGE_M2,AVERAGE_HCS
17835,27,33,12,40
17836,32,34,12,37
17837,26,30,8,39
17838,28,31,11,35
17839,34,40,12,30
17840,22,27,9,26
17841,26,26,8,29
17842,22,27,11,23
17843,46,42,17,0
17844,37,33,12,35
18039,25,29,9,30
18040,29,36,12,29
18041,28,32,10,23
18046,29,36,12,28
18054,34,38,15,24
18055,31,34,15,23
18056,28,31,11,26
18057,31,37,13,28
18058,26,31,11,25
18060,28,34,13,36
18061,32,35,13,35
18062,38,45,17,31
18063,38,37,11,26
18064,38,39,17,21
18065,33,34,12,24
18066,27,29,11,27
18067,32,38,15,30
18068,31,38,13,26
18069,30,35,12,27
18070,35,37,13,25
18071,30,35,12,29
18072,33,42,16,26
18073,25,33,8,29
18074,45,56,29,0
18075,28,38,13,24
18077,31,28,11,28
18079,32,38,14,35
18080,34,32,13,29
18081,29,31,10,26
18083,32,34,11,39
18084,31,37,13,31
18085,26,26,12,26
18086,26,29,10,21
18087,67,57,29,44
18089,44,43,16,32
18090,40,40,15,28
18091,35,33,11,25
18092,36,44,16,30
18093,38,45,16,31
18094,27,31,11,28
18095,31,35,12,29
18096,26,28,9,27
18200,32,36,13,28
18201,22,26,9,25
18202,27,28,11,25
18203,31,36,13,28
18204,34,36,14,30
19003,25,29,10,37
19005,22,28,9,34
19010,32,30,8,30
19012,26,30,10,33
19015,26,30,9,30
19017,23,32,12,23
19018,29,34,12,26
19019,34,42,16,26
19020,30,35,12,30
19021,29,32,12,22
19022,27,29,12,29
19024,28,30,15,31
19026,22,26,10,20
19027,27,27,10,25
19028,24,29,12,27
19030,30,35,12,42
19031,24,27,8,30
19036,43,39,13,29
19037,24,26,10,22
19039,64,57,30,45
19040,71,58,32,45
19041,45,43,16,30
19042,38,38,13,30
19043,35,37,13,29
19044,25,24,10,21
19045,34,39,14,39
19046,29,30,10,24
19047,48,45,15,40
19048,35,35,11,29
19049,44,43,15,34
19050,42,44,16,31
19052,29,36,12,26
19060,27,31,11,26
19062,26,29,10,23
19068,27,29,11,36
19074,29,30,11,25
19075,35,33,14,29
19076,38,41,15,29
19078,37,39,12,32
19079,29,39,13,28
19080,37,35,12,32
19081,24,45,10,0
19083,26,31,11,27
19084,29,41,15,32
19085,29,36,12,26
19086,24,30,12,27
19088,29,34,12,30
19089,26,33,12,30
19090,47,47,18,36
19091,31,32,11,25
19092,35,36,15,33
19093,26,31,11,24
19094,30,35,13,24
19095,28,33,12,25
20007,27,31,12,33
20011,35,36,14,35
20012,36,29,12,30
20022,37,31,10,36
20023,48,47,24,43
20024,33,43,16,31
20025,34,38,12,31
20050,30,30,12,31
20052,28,29,11,30
20054,23,26,0,27
20056,27,31,10,30
20057,28,32,12,35
20061,32,35,12,31
20066,24,27,11,24
20071,27,28,10,33
20076,28,32,10,43
20081,22,26,11,30
20086,26,32,11,35
20091,0,31,0,47
20096,30,32,12,34
20098,30,33,12,25
21002,30,32,13,34
21012,24,32,12,22
21023,24,27,10,26
21024,25,26,9,26
21030,29,34,12,27
21031,24,32,11,25
21032,24,29,9,22
21033,27,28,11,31
21041,32,38,13,27
21043,22,23,10,25
21045,27,33,11,30
21046,28,32,12,32
21047,28,32,12,26
21048,25,30,11,24
21049,32,38,13,22
21053,28,31,12,31
21054,25,27,9,22
21071,32,34,10,26
21073,33,31,11,27
21074,26,31,12,23
21075,33,37,14,26
21076,31,35,12,27
21080,33,34,12,27
21081,26,29,10,26
21082,24,27,9,23
21083,30,31,13,30
21087,24,27,9,20
21089,23,27,12,27
21096,30,32,12,26
22004,24,32,11,25
22005,29,35,11,28
22007,25,25,10,25
22008,28,29,11,25
22020,31,33,12,31
22021,28,30,11,31
22023,31,31,13,35
22024,37,43,13,29
22025,31,36,15,22
22026,34,34,13,24
22028,27,28,10,18
22029,33,34,13,24
22030,32,31,13,28
22031,31,34,9,20
22037,30,30,11,27
22042,26,33,12,27
22050,60,55,28,39
22052,30,33,12,24
22055,28,28,10,24
22056,42,41,15,32
22057,42,40,16,31
22058,29,32,12,26
22059,25,30,11,36
22061,25,26,11,20
22063,27,27,15,30
22065,27,29,10,23
22067,30,30,12,26
22069,33,36,13,27
22070,27,29,12,25
22073,34,39,15,27
22074,27,31,11,21
22075,31,37,13,24
22076,31,35,14,23
22077,31,38,13,27
22080,32,37,13,29
22083,25,29,11,21
22084,21,29,14,24
22089,35,40,15,22
22090,25,29,11,25
22091,27,28,10,31
22094,35,34,16,33
22095,28,30,11,35
22097,20,24,12,21
22101,30,39,13,32
22102,25,27,12,24
22103,26,27,13,22
22104,30,30,13,23
22107,26,27,10,25
22108,27,35,12,26
23007,26,27,8,18
23010,21,24,10,21
23012,28,35,13,26
23013,24,28,10,23
23015,22,26,7,23
23016,24,28,10,29
23018,25,23,10,27
23024,26,29,10,25
23025,28,35,12,26
23026,30,29,11,23
23029,23,27,12,20
23046,24,27,8,26
23047,35,35,16,27
23048,30,37,13,27
23052,32,43,15,19
23054,28,30,10,32
23056,34,37,14,22
23058,27,30,11,25
23059,22,22,12,21
23060,26,26,10,21
23061,27,26,9,27
23062,27,33,11,27
23063,27,33,11,30
23065,25,28,11,20
23068,25,27,10,20
23069,25,29,11,27
23070,27,28,10,28
23073,25,28,10,24
23074,32,37,12,27
23075,27,34,13,23
23077,32,33,12,27
23078,24,24,11,18
23081,30,26,9,26
23082,25,26,9,21
24003,38,37,12,31
24011,32,35,14,26
24013,37,38,13,27
24017,25,26,12,23
24033,38,39,15,28
24040,26,30,11,32
24041,31,29,9,0
24046,25,27,9,30
24047,59,55,26,36
24048,44,44,15,28
24052,29,29,11,29
24055,27,37,13,31
24058,39,38,14,27
24060,29,34,13,25
24065,28,29,10,21
24067,40,40,13,27
24068,23,23,10,19
24069,26,32,11,24
24070,27,33,11,26
24083,30,31,10,21
24084,26,28,11,24
24085,29,32,12,33
24086,30,28,9,22
24087,23,24,7,26
24088,21,28,8,28
24089,28,28,9,30
24090,31,30,12,28
24091,26,27,9,26
24092,30,30,12,28
24093,33,39,14,29
24094,27,31,11,22
24095,26,31,11,25
24096,30,35,14,27
24097,37,39,14,33
24109,25,28,11,27
24110,27,28,9,27
24111,40,31,13,38
24112,34,32,13,22
25001,38,47,18,31
25002,36,42,16,26
25003,39,46,18,28
25004,35,42,14,28
25005,33,35,12,26
25010,27,35,12,20
25014,26,30,10,22
25015,34,42,15,35
25016,27,32,11,24
25017,27,35,12,25
25021,35,42,15,26
25024,35,35,13,28
25025,37,42,18,27
25026,36,35,11,27
25027,44,42,16,31
25028,39,45,17,32
25031,30,32,11,25
25033,42,42,12,34
25034,36,42,15,31
25036,49,49,19,34
25037,34,36,10,31
25038,38,36,13,32
25041,29,30,12,32
25042,28,29,11,36
25043,28,32,12,30
25044,31,32,10,28
25046,31,34,17,30
25050,23,27,10,24
25051,26,30,11,30
25052,29,31,10,29
25053,24,28,14,24
25061,28,34,12,29
25063,32,31,11,36
25064,41,44,16,42
25065,23,31,11,35
25066,28,32,12,30
25067,33,38,12,31
25069,30,34,12,28
25070,36,35,13,45
26000,24,26,9,23
26005,23,26,11,25
26007,26,27,11,26
26008,25,27,8,23
26009,25,29,8,30
26010,27,25,8,31
26025,25,27,9,28
26029,27,27,13,29
26032,23,24,12,27
26038,25,27,11,25
